"Provider ID","Organisation Name","Date Authorised","Status","Reason for status change","Status effective from date","Measures offered"
"GDPA178","Kent Trade Frames Ltd","","Authorised","Initial authorisation","25/04/2013","Non-domestic,England"
"GDPA170","Jewson Limited t/a Greenworks","","Authorised","Initial authorisation","07/02/2013","Non-domestic,England,Scotland,Wales"
"GDPA166","Osborne Energy Limited","","Authorised","Initial authorisation","28/01/2013","Domestic,Non-domestic,Green Deal Cashback Scheme,Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water cylinder insulation,Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Radiant heating,Roof insulation,Room in roof insulation,Under-floor heating,Under-floor insulation,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA165","Wolseley UK Limited","","Authorised","Initial authorisation","09/01/2013","Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA164","Energy Trust","","Authorised","Initial authorisation","01/02/2013","Non-domestic,Green Deal Cashback Scheme,Cavity wall insulation,External wall insulation systems,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Loft or rafter insulation (including loft hatch insulation),Photovoltaics,Replacement glazing,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA163","SSE Green Deal Provider Limited","","Authorised","Initial authorisation","04/02/2013","Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA157","British Gas Trading Limited","","Authorised","Initial authorisation","29/10/2012","Non-domestic,England,Scotland,Wales"
"GDPA155","Keepmoat Limited","","Authorised","Initial authorisation","29/10/2012","Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA154","BE Thinking Ltd","","Authorised","Initial authorisation","01/10/2012","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Cavity wall insulation,External wall insulation systems,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Loft or rafter insulation (including loft hatch insulation),Room in roof insulation,Under-floor insulation,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA153","MEB Total Limited","","Authorised","Initial authorisation","29/10/2012","Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Cylinder thermostats,External wall insulation systems,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Photovoltaics,Room in roof insulation,Under-floor insulation,Air source heat pumps,England,Green Deal Finance Plan"
