"Provider ID","Organisation Name","Date Authorised","Status","Reason for status change","Status effective from date","Measures offered"
"GDPA124","Local Energy Limited","","Authorised","Initial authorisation","07/01/2013","Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Biomass room heaters (including with radiators),Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water showers (efficient),Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Micro wind generation,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Radiant heating,Replacement glazing,Roof insulation,Room in roof insulation,Secondary glazing,Solar water heating,Under-floor heating,Under-floor insulation,Waste water heat recovery devices attached to showers,Water "
"GDPA123","Network Green Deal Limited","","Authorised","Initial authorisation","20/12/2012","Domestic,Non-domestic,Green Deal Cashback Scheme,Cavity wall insulation,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water cylinder insulation,Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Micro combined heat and power,Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Roof insulation,Room in roof insulation,Solar water heating,Under-floor insulation,Water source heat pumps,Air source heat pumps,Warm-air units,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA122","FITGAS Limited","","Authorised","Initial authorisation","24/12/2012","Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales"
"GDPA121","GHE Solar Limited","","Authorised","Initial authorisation","01/11/2012","Domestic,Non-domestic,Green Deal Cashback Scheme,Cavity wall insulation,Draught proofing,External wall insulation systems,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),High performance external doors,Hot water controls (including timers and temperature control),Hot water cylinder insulation,Loft or rafter insulation (including loft hatch insulation),Photovoltaics,Pipe-work insulation,Replacement glazing,Roof insulation,Secondary glazing,Solar water heating,Water source heat pumps,Air source heat pumps,England,Green Deal Finance Plan"
"GDPA120","Infinity Energy Organisation Limited","","Authorised","Initial authorisation","02/11/2012","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Hot water systems (efficient),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Photovoltaics,Pipe-work insulation,Replacement glazing,Solar water heating,Under-floor heating,Water source heat pumps,Air source heat pumps,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA119","InstaGroup Limited","","Authorised","Initial authorisation","01/10/2012","Domestic,Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Cavity wall insulation,Draught proofing,External wall insulation systems,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Roof insulation,Room in roof insulation,Solar water heating,Air source heat pumps,Warm-air units,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA117","Grafton Merchanting GB Limited","","Authorised","Initial authorisation","22/11/2012","Non-domestic,Green Deal Cashback Scheme,England,Scotland,Wales,Green Deal Finance Plan"
"GDPA116","Home Energy and Lifestyle Management Limited","","Authorised","Initial authorisation","20/02/2013","Domestic,Green Deal Cashback Scheme,Cavity wall insulation,Cylinder thermostats,External wall insulation systems,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Loft or rafter insulation (including loft hatch insulation),Photovoltaics,Pipe-work insulation,Room in roof insulation,Under-floor insulation,England,Scotland,Wales"
"GDPA114","Anesco Limited","","Authorised","Initial authorisation","29/10/2012","Non-domestic,Green Deal Cashback Scheme,Biomass boilers,Cavity wall insulation,External wall insulation systems,Gas-fired condensing boilers,Loft or rafter insulation (including loft hatch insulation),England,Scotland,Wales,Green Deal Finance Plan"
"GDPA112","Aran Services Ltd","","Authorised","Initial authorisation","29/10/2012","Domestic,Non-domestic,Green Deal Cashback Scheme,Cavity wall insulation,Cylinder thermostats,Draught proofing,External wall insulation systems,Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water cylinder insulation,Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Roof insulation,Room in roof insulation,Solar water heating,Air source heat pumps,England,Green Deal Finance Plan"
